FTR,HTHG,HTAG
H,1,0
H,1,0
A,0,1
A,0,2
A,1,2
H,1,0
D,1,1
A,0,1
H,2,0
D,0,0
D,0,0
H,2,2
H,2,0
H,2,0
H,1,0
A,1,0
H,3,1
A,1,1
H,3,1
A,0,1
H,1,1
D,0,0
D,0,0
H,1,0
A,0,0
D,0,0
H,3,2
A,0,0
H,0,0
A,0,0
D,0,1
H,0,0
A,0,0
D,1,1
A,0,2
H,1,1
A,0,0
A,0,2
A,1,1
H,0,0
H,3,0
H,2,1
A,0,1
H,2,0
A,0,0
A,0,1
A,0,2
A,1,2
H,0,0
D,1,0
A,0,1
H,2,0
A,0,3
D,0,0
D,0,1
H,1,1
H,3,0
D,1,0
H,0,0
D,0,0
H,0,0
D,1,0
H,0,0
A,0,2
H,1,0
A,0,1
H,2,0
H,0,0
A,0,0
H,1,0
H,1,0
D,1,0
A,0,0
A,1,1
H,0,2
H,1,0
A,0,3
A,1,1
D,0,0
A,0,1
D,0,0
H,2,2
D,1,0
A,0,1
H,1,0
A,0,1
A,0,1
A,0,2
H,0,0
H,1,1
H,0,0
A,0,1
D,0,1
H,1,0
D,0,0
H,2,0
A,0,1
D,1,0
H,1,0
A,0,1
D,0,0
A,1,1
A,0,0
H,1,1
H,0,0
H,1,1
A,0,2
H,1,0
H,4,1
H,1,0
H,1,1
A,0,0
D,1,0
D,0,0
H,2,1
D,1,0
D,0,1
D,0,0
H,1,0
H,1,0
D,1,0
H,0,0
H,2,1
D,0,0
H,2,0
A,0,0
A,0,3
A,1,1
A,0,1
A,1,2
H,0,1
H,1,0
A,1,1
H,2,0
H,1,1
A,0,1
D,2,2
H,1,2
H,1,0
H,0,0
H,2,1
H,3,0
A,0,1
H,0,0
A,0,0
D,1,1
D,1,0
D,1,1
H,1,0
H,0,1
H,0,0
A,0,1
H,1,0
H,0,0
H,1,0
A,0,1
H,3,0
H,0,1
A,1,1
D,1,0
H,1,0
A,0,2
A,0,0
H,1,0
H,0,0
H,1,0
H,1,0
A,0,2
H,1,1
H,2,1
A,0,1
H,1,0
H,1,0
A,1,3
A,0,0
A,0,2
A,1,2
D,0,0
A,0,1
A,1,3
D,1,1
A,1,3
D,0,0
D,0,0
H,1,1
H,1,0
H,1,0
H,3,0
A,1,1
A,0,0
H,0,0
H,0,0
A,0,0
H,4,1
A,1,0
D,0,1
H,2,0
A,0,0
H,3,1
A,1,3
H,1,0
A,0,3
A,0,0
D,3,3
D,0,0
A,1,1
A,0,0
D,0,0
A,0,0
H,1,0
A,0,0
H,2,1
D,0,0
H,1,1
A,1,0
A,0,2
H,0,0
H,0,0
A,0,1
H,2,0
H,2,0
H,0,0
H,0,1
H,2,0
H,1,0
H,0,0
D,0,0
H,2,0
A,1,0
A,0,1
H,0,0
H,0,2
A,0,1
D,0,0
H,0,1
H,0,0
H,0,0
D,1,1
D,0,1
H,0,1
D,0,0
D,0,0
H,1,0
H,2,0
H,1,0
A,1,2
H,0,0
A,0,1
H,2,1
D,1,1
A,0,1
A,0,1
D,0,1
A,0,2
A,0,2
H,2,0
A,0,0
H,0,0
H,4,0
H,1,0
D,0,0
A,0,1
H,2,1
D,1,0
H,0,0
A,0,1
H,0,0
H,2,0
D,0,0
A,0,1
H,0,0
H,1,0
H,2,0
H,2,1
H,0,0
A,0,1
H,2,0
H,0,0
H,2,0
A,0,0
H,0,0
A,0,1
H,0,1
D,0,1
H,2,0
H,2,0
D,0,0
A,1,2
H,1,0
H,1,0
A,0,1
A,0,1
H,1,0
H,0,0
H,0,2
H,0,1
H,1,0
D,0,0
H,2,1
D,0,1
A,1,1
H,1,2
H,0,0
A,0,1
A,0,0
H,1,0
H,0,0
A,0,2
H,1,0
H,1,0
A,0,2
A,0,0
H,1,0
H,1,0
H,1,1
H,1,1
H,1,0
H,2,0
H,0,0
A,1,1
A,1,2
A,0,1
A,0,0
H,1,0
H,1,0
A,0,1
A,0,1
H,1,0
H,0,0
H,1,0
H,2,1
H,2,0
A,0,1
H,0,0
A,0,1
A,0,1
A,0,0
A,0,1
H,1,0
H,2,0
D,1,0
D,0,0
A,0,1
A,0,0
H,2,0
D,2,2
H,0,0
D,0,1
A,0,0
H,3,0
H,3,0
D,0,1
D,0,0
H,0,0
D,1,2
A,0,0
A,0,1
A,0,0
H,0,0
D,1,1
H,2,0
H,0,0
A,1,2
A,1,2
H,1,0
H,0,0
D,1,0
H,0,0
D,0,1
H,0,0
A,1,2
A,0,0
H,3,1
A,0,2
D,0,0
H,1,0
A,0,1
D,1,0
D,1,0
A,0,2
H,1,0
H,1,0
A,0,1
A,0,2
A,1,2
H,1,0
D,1,1
A,0,1
H,2,0
D,0,0
D,0,0
H,2,2
H,2,0
H,2,0
H,1,0
A,1,0
H,3,1
A,1,1
H,3,1
A,0,1
